,username,wither_skeleton,creeper,player,drowned,enderman,skeleton,zombie,stray,piglin,cave_spider,silverfish,spider,wolf,ender_dragon,iron_golem,vindicator,witch,zombie_villager,endermite,fox,vex,evoker,guardian,hoglin,phantom,ravager,shulker,wither,blaze,elder_guardian,husk,magma_cube,zombified_piglin,ghast,pillager,slime,piglin_brute,panda,armor_stand,bee,llama
190,tommytith,,4.0,1.0,,12.0,26.0,24.0,,9.0,,,,,,119.0,,,8.0,,,,,,2.0,1.0,,1.0,,1.0,,,1.0,,2.0,,,,,,,
191,helvec,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Dragon12741,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,BagelsOverBread,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,joshaneter2,,6.0,9.0,,3.0,2.0,3.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
195,Holy_Floppa,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Nokona_,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,ItsHugo885,1.0,2.0,49.0,,4.0,1.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
198,_Cloudish,,,2.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,MCKrissy,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,ronDuma,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
201,TheBlessedTomato,1.0,5.0,54.0,,,4.0,2.0,,1.0,1.0,,,1.0,,,,,,1.0,,4.0,,3.0,4.0,,,,3.0,,,,,1.0,,,1.0,2.0,,,,
202,DragooCraft,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Bortopian,,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Avoicc,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Stulm_,,3.0,2.0,,4.0,2.0,7.0,,5.0,2.0,,,,,1.0,,,,,,,,,2.0,,,1.0,,,,,,2.0,,,,,,,,
206,iicypisces,,4.0,1.0,,,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,Benguinn,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,VariantKim,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Nierro,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,MiniMichiiii,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Dirt_Cheap_Duke,,3.0,,,,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,PlutoXV,,6.0,1.0,,1.0,24.0,21.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
213,ColonelKurtz73,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,A_Slavic_Potato,,1.0,15.0,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
215,__Senpaii,,4.0,42.0,,,3.0,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
216,MaroonMoron355,,,,,,3.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
217,tuckcedo,,13.0,189.0,,3.0,7.0,6.0,,1.0,,,1.0,,1.0,,2.0,,,,,3.0,,,,,4.0,,1.0,,,,,,,,,2.0,,,,
218,born_child,,,11.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,tom_9015,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Bulkaa9,15.0,5.0,1.0,,1.0,5.0,13.0,,3.0,,1.0,,,,,,,1.0,,,,,,,,,,,9.0,,,2.0,1.0,,,,,,,,
221,gothwaifu001011,,3.0,13.0,,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,doubloon,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,offxer,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,Taffydragon,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,Theddy,,,14.0,,,,,,1.0,,1.0,,,,,,,,,,2.0,1.0,,,1.0,,,,,,,,,,,,4.0,,,,
226,annabouncy,,2.0,1.0,,,3.0,4.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
227,TheMusicMan31,,1.0,6.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,MuffyHotBuns,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,KermitTheFrogey,,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,OhEmBee,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,croprol,,2.0,2.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
