,username,wither_skeleton,creeper,player,drowned,enderman,skeleton,zombie,stray,piglin,cave_spider,silverfish,spider,wolf,ender_dragon,iron_golem,vindicator,witch,zombie_villager,endermite,fox,vex,evoker,guardian,hoglin,phantom,ravager,shulker,wither,blaze,elder_guardian,husk,magma_cube,zombified_piglin,ghast,pillager,slime,piglin_brute,panda,armor_stand,bee,llama
34,briisu,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,nepjun,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Hoego115,,5.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Errordiamond300,,2.0,16.0,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
38,vredeagle,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,boris_johnson_08,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
40,jollygood795637,,1.0,4.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Rich_U,,4.0,1.0,,2.0,,1.0,,,1.0,,,,,,,,,,,,,2.0,,,,,,,2.0,,,1.0,,,,,,,,
42,Wither_Dust,,3.0,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,mantrathijs,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
44,TyphoonFoN,,1.0,,,2.0,1.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,DibsTheHorse,,3.0,,,1.0,3.0,1.0,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
46,LiquidGinger,,4.0,6.0,,1.0,1.0,,,4.0,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,
47,Aly6337,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Chexse_,,12.0,55.0,1.0,8.0,24.0,4.0,,16.0,2.0,,1.0,,2.0,,8.0,,2.0,,,4.0,,13.0,11.0,2.0,8.0,,1.0,,1.0,6.0,1.0,3.0,,4.0,,1.0,,,,
49,SenseiRain,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
50,UncleBarba,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,AI0099,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
