,username,spider,skeleton,magma_cube,piglin,pig,creeper,sheep,zombie,ghast,cow,enderman,chicken,zombie_villager,axolotl,blaze,cat,cave_spider,drowned,elder_guardian,glow_squid,guardian,hoglin,horse,iron_golem,phantom,piglin_brute,pillager,salmon,shulker,silverfish,slime,squid,trader_llama,witch,wither,wither_skeleton,zombified_piglin,wandering_trader,stray,bat,cod,endermite,evoker,husk,rabbit,ravager,vindicator,llama,wolf,bee,turtle,ender_dragon,panda,parrot,polar_bear,strider,tropical_fish,vex,pufferfish,skeleton_horse,villager,donkey,mooshroom,fox,zoglin,zombie_horse,dolphin,goat,snow_golem,giant,mule,ocelot
80,Mavway02,26.0,74.0,2.0,,19.0,36.0,3.0,89.0,2.0,15.0,3344.0,2.0,2.0,,,,,1.0,,7.0,,,,,1.0,,,6.0,,,1.0,2.0,2.0,1.0,,,2.0,1.0,,,1.0,2.0,,5.0,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,
81,Nerdseh,,5.0,,,10.0,,4.0,2.0,,6.0,1.0,,,,,,,,,,,,,,,,,7.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,
82,EnderPort,7.0,25.0,,,1.0,4.0,37.0,22.0,,12.0,1101.0,,,,,,,,,,,,,,,,,,,13.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Myracuulous,86.0,180.0,15.0,,1.0,125.0,4.0,1205.0,,334.0,45.0,313.0,10.0,,1.0,,1.0,39.0,,3.0,88.0,,,,11.0,,6.0,,,,178.0,18.0,,3.0,,1.0,,,1.0,3.0,,,,1.0,8.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
84,_sliced_bread,1.0,8.0,,,4.0,1.0,6.0,6.0,,6.0,2424.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,crazysloppyjoe,2.0,11.0,10.0,,,3.0,1.0,11.0,,,1844.0,,1.0,,,,,1.0,,,,,,,,,8.0,,,2.0,,,2.0,3.0,,,1.0,,,,,1.0,1.0,3.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,
86,willmick1,202.0,1431.0,253.0,238.0,14.0,320.0,8.0,411.0,14.0,41.0,27811.0,1160.0,10.0,,8.0,,31.0,513.0,2.0,5.0,57.0,87.0,,,61.0,47.0,14.0,8.0,451.0,1.0,880.0,80.0,8.0,10.0,3.0,3.0,3029.0,3.0,,1.0,31.0,31.0,2.0,174.0,27.0,,6.0,,,5.0,3.0,,,,3.0,12.0,86.0,3.0,10.0,,1.0,,,2.0,,,9.0,,,,,
87,MaximusDesmus,6.0,42.0,,,,16.0,,71.0,,,6069.0,1.0,1.0,,,,1.0,,,,,,,,,,8.0,,,,16.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
88,Dormant_Demon,17.0,45.0,74.0,51.0,7.0,29.0,18.0,140.0,18.0,14.0,8977.0,2.0,1.0,17.0,1.0,,9.0,7.0,,15.0,,1.0,,,4.0,,,,47.0,,,,,,,8.0,408.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
89,CarromaPt,,,,,5.0,,2.0,4.0,,1.0,,2.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,mkehoe28,1.0,2.0,,,,,6.0,5.0,,18.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,xpicklemanx99,4.0,19.0,,,,8.0,,33.0,,7.0,6.0,,,,,,,19.0,,4.0,,,2.0,,,,,,,,9.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,miekoooo,12.0,22.0,,,10.0,11.0,8.0,86.0,,5.0,,10.0,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,CodyF,,8.0,,,,,3.0,2.0,,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Ellie0473,1.0,,,,5.0,,6.0,2.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,TheLegitOne___,1.0,1.0,,,12.0,,11.0,4.0,,6.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Joshman_,2.0,10.0,,,,2.0,,14.0,,,3610.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,JefforyKnightVA,42.0,99.0,,8.0,2.0,61.0,12.0,163.0,2.0,6.0,10253.0,12.0,1.0,2.0,1.0,1.0,3.0,2.0,,1.0,,6.0,2.0,,41.0,,6.0,21.0,,7.0,27.0,2.0,3.0,3.0,,1.0,,2.0,,,1.0,,,,,3.0,4.0,,3.0,8.0,,,,,,,,5.0,,,,,,,,,2.0,,,,,
98,DynamiteP,46.0,103.0,27.0,51.0,13.0,73.0,22.0,183.0,7.0,50.0,6019.0,18.0,1.0,,5.0,,,34.0,,,2.0,6.0,2.0,,10.0,2.0,,22.0,55.0,,4.0,197.0,,3.0,1.0,30.0,1.0,1.0,,,,3.0,,12.0,8.0,,,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,
99,cokiemo,3.0,8.0,,,17.0,,15.0,14.0,,12.0,1.0,11.0,2.0,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,JakeTheDragon_,173.0,405.0,76.0,360.0,53.0,265.0,65.0,467.0,25.0,85.0,71085.0,40.0,12.0,,53.0,,1.0,179.0,1.0,3.0,10.0,90.0,10.0,2.0,14.0,80.0,14.0,,35.0,,2561.0,57.0,2.0,7.0,4.0,120.0,434.0,1.0,,1.0,2.0,,,143.0,5.0,,,5.0,,,,,,,,,,,,1.0,2.0,,,,,,,1.0,,,,
101,TaylorMak11,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PythonPixels,5.0,8.0,,,8.0,1.0,6.0,9.0,,8.0,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,TitanReaper_64,,,,,1.0,,1.0,,,,,2.0,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,RadSadCowboi,62.0,137.0,54.0,1.0,,65.0,6.0,207.0,,10.0,6980.0,,5.0,,,,13.0,36.0,,1.0,,1.0,,,20.0,,,2.0,39.0,,29.0,,,2.0,,,,1.0,,3.0,5.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Maatricht,,1.0,,1.0,14.0,,5.0,3.0,,3.0,,3.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,BionicTulip,1.0,7.0,,,23.0,5.0,16.0,13.0,,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Matakiller,65.0,129.0,13.0,13.0,13.0,60.0,116.0,913.0,,147.0,8435.0,80.0,4.0,,,,,52.0,,2.0,,4.0,2.0,,7.0,1.0,26.0,8.0,1.0,14.0,64.0,33.0,5.0,5.0,1.0,,16.0,6.0,1.0,,,,,,,,3.0,,,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,
108,SpOokyBoy_Ash,62.0,358.0,,4.0,60.0,75.0,74.0,261.0,1.0,71.0,22771.0,45.0,4.0,2.0,2.0,1.0,4.0,3.0,,7.0,,1.0,8.0,,59.0,,30.0,18.0,1.0,22.0,189.0,16.0,8.0,3.0,27.0,,2.0,2.0,,1.0,,5.0,,,,,8.0,2.0,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,
109,Serenqeti,,,,,12.0,,2.0,,,2.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,NevQ,84.0,219.0,16.0,43.0,9.0,121.0,9.0,281.0,6.0,83.0,8750.0,111.0,7.0,3.0,7.0,,,8.0,,,,24.0,,,16.0,,23.0,,,1.0,204.0,,,9.0,,15.0,4.0,,,,,,5.0,69.0,4.0,5.0,13.0,,,,,,,,1.0,,,14.0,,,2.0,,,,,,,,,1.0,,
111,Modify1337,26.0,86.0,16.0,2.0,4.0,67.0,6.0,114.0,,7.0,10740.0,2.0,3.0,,,3.0,1.0,9.0,,,,1.0,,,37.0,,41.0,37.0,,,24.0,35.0,,2.0,1.0,,4.0,1.0,,,,,,,,,,2.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,
112,Jennajen,2.0,17.0,,,2.0,6.0,1.0,35.0,,2.0,3.0,,2.0,,,,,,,,,,,,4.0,,,5.0,,2.0,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
113,3ZVB,10.0,31.0,,,2.0,6.0,,133.0,,4.0,2357.0,1.0,3.0,,,,,,,,,,,,,,,4.0,,,35.0,7.0,2.0,,,,6.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Plaic,240.0,2104.0,129.0,35.0,19.0,404.0,55.0,1196.0,5.0,329.0,14213.0,290.0,19.0,,3.0,1.0,6.0,17.0,,,44.0,17.0,8.0,5.0,68.0,,102.0,125.0,,10.0,28.0,20.0,6.0,19.0,1.0,2.0,80.0,2.0,6.0,1.0,,4.0,2.0,16.0,,3.0,12.0,4.0,5.0,9.0,,2.0,,1.0,9.0,,,,,,4.0,,,19.0,,,,,6.0,,,
115,AbdulOsam,28.0,89.0,,,73.0,41.0,11.0,141.0,,126.0,9.0,2.0,,19.0,,,,,,63.0,,,3.0,,,,,1.0,,,12.0,,,4.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
116,Nightmar35,1.0,3.0,,,1.0,,,13.0,,,,5.0,,,,,,,,,,,,,,,,10.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,GLackDon,73.0,200.0,24.0,9.0,55.0,162.0,56.0,459.0,4.0,88.0,37116.0,435.0,31.0,,,5.0,,17.0,,25.0,,1.0,1.0,,21.0,,19.0,22.0,,,254.0,34.0,23.0,4.0,1.0,,154.0,5.0,,4.0,,3.0,1.0,,,,2.0,3.0,9.0,,,,,,,,,,,7.0,33.0,,134.0,,,,,,1.0,,,
118,Barbacena,11.0,44.0,,1.0,34.0,16.0,17.0,115.0,,14.0,1.0,37.0,,,,,2.0,,,,,2.0,,,7.0,,,1.0,,10.0,23.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
119,Tekavi,542.0,1814.0,111.0,153.0,79.0,375.0,193.0,1938.0,67.0,414.0,18223.0,401.0,151.0,,234.0,6.0,13.0,206.0,17.0,2.0,47.0,42.0,1.0,6.0,178.0,10.0,85.0,103.0,322.0,4.0,183.0,71.0,49.0,23.0,56.0,2613.0,118.0,11.0,4.0,4.0,20.0,4.0,4.0,24.0,28.0,6.0,35.0,3.0,1.0,,3.0,4.0,5.0,,,14.0,,14.0,1.0,3.0,4.0,,,1.0,,,,,1.0,,,
120,PaulFT5,3.0,4.0,,,4.0,1.0,3.0,7.0,,16.0,,6.0,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Tohbeh,53.0,134.0,74.0,30.0,,80.0,,294.0,7.0,66.0,6375.0,4.0,11.0,,37.0,,7.0,1.0,,2.0,,21.0,,,8.0,,9.0,,,,108.0,6.0,,1.0,1.0,70.0,32.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,NigthmareTTV,8.0,10.0,,,,6.0,,22.0,,,541.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Nexo03,268.0,543.0,1035.0,299.0,37.0,370.0,34.0,2115.0,432.0,29.0,55046.0,40.0,23.0,,242.0,,1242.0,122.0,3.0,14.0,26.0,9.0,15.0,1.0,47.0,6.0,127.0,50.0,,,9162.0,68.0,24.0,22.0,2.0,239.0,411.0,15.0,,3.0,,2.0,9.0,41.0,,11.0,55.0,,,2.0,,22.0,,,,26.0,,11.0,,2.0,4.0,2.0,,,,,,,,,,
124,WillPlaysGame,43.0,85.0,,5.0,5.0,74.0,11.0,122.0,,7.0,7844.0,15.0,2.0,,,,,12.0,,4.0,,4.0,2.0,,,,11.0,14.0,,,14.0,81.0,1.0,1.0,,,6.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,
125,Ducky0134721,,,,,1.0,,4.0,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,FlamingDragX,,4.0,,,2.0,1.0,2.0,3.0,,2.0,,4.0,,,,,,1.0,,1.0,,,,,2.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
127,XxZEVAxX284,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,TheHollowKnight5,1.0,1.0,,,,,,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,LtMerlin,,,,,5.0,,,9.0,,11.0,,3.0,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,eWar,5.0,12.0,,4.0,,1.0,,26.0,,,714.0,,,,,,,,,,,5.0,,1.0,,,,,,5.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,DustaWolf,3.0,320.0,,,,1.0,,6.0,,,683.0,,,,,,,,,1.0,,,,,,,,,,,3.0,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,StoneyBolagna,26.0,358.0,,,32.0,7.0,9.0,112.0,,14.0,,,2.0,,,,2.0,3.0,,,,,,,4.0,,,,,20.0,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
133,Minorow,,,,1.0,,,,,,,1797.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Fabian__02,24.0,54.0,,,7.0,39.0,11.0,156.0,,267.0,4592.0,6.0,3.0,,,22.0,,1.0,3.0,,1.0,,1.0,30.0,1.0,,,,,,1.0,,3.0,4.0,,,2.0,1.0,,1.0,,1.0,,2.0,,,,,,2.0,,,,,,,,,,,113.0,1.0,,,,,,,,,,
135,StollBrownless,5.0,12.0,21.0,8.0,,3.0,,54.0,1.0,,1307.0,,,,,,,,,,,4.0,,,,,,,71.0,4.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Dwyer04,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Hikekomori,5.0,13.0,,,2.0,9.0,16.0,28.0,,2.0,5498.0,17.0,,,,,,,,,,,,,,,,,,4.0,3.0,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Hylianic,86.0,308.0,50.0,23.0,2.0,136.0,18.0,382.0,15.0,9.0,8956.0,57.0,6.0,10.0,10.0,6.0,6.0,45.0,3.0,8.0,14.0,1.0,6.0,3.0,14.0,5.0,4.0,12.0,225.0,33.0,90.0,167.0,4.0,7.0,4.0,172.0,115492.0,1.0,,24.0,,,,29.0,,,,,,,7.0,,2.0,,,18.0,,,,,1.0,,,,,,,,,,,
139,snowflakexo,,,,,,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,nnint,19.0,45.0,,,,19.0,7.0,86.0,,25.0,2.0,8.0,2.0,,,,,3.0,,2.0,,,,,17.0,,,,,,,,,1.0,,,,,,4.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
141,Envvi,41.0,150.0,12.0,6.0,23.0,54.0,25.0,178.0,1.0,35.0,5425.0,28.0,3.0,,15.0,,,,,2.0,,6.0,,,1.0,,2.0,4.0,,3.0,17.0,4.0,,,,2.0,3.0,,,2.0,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,
142,GiantHoboSquid,209.0,590.0,242.0,86.0,33.0,383.0,35.0,1277.0,18.0,29.0,8559.0,83.0,24.0,121.0,152.0,5.0,11.0,290.0,3.0,17.0,36.0,15.0,1.0,7.0,37.0,16.0,1193.0,85.0,,,39.0,74.0,2.0,158.0,3.0,144.0,45.0,1.0,21.0,1.0,16.0,1.0,143.0,,2.0,103.0,518.0,,74.0,1.0,,8.0,,,,,,263.0,,,1.0,,,12.0,,,,2.0,2.0,,,
143,konisv,1.0,,,,2.0,,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Conman0071,,4.0,,,,2.0,,4.0,,,,1.0,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,AlwaysAlec,24.0,35.0,16.0,8.0,19.0,11.0,26.0,117.0,,22.0,6.0,3.0,4.0,,,5.0,,2.0,,,,7.0,10.0,4.0,12.0,,16.0,10.0,,,,,14.0,2.0,,,,5.0,,2.0,3.0,,,1.0,6.0,1.0,7.0,1.0,,,,,,,1.0,,,,,,16.0,1.0,,,,,,,,,,
146,SquiggsMcDolphin,5.0,15.0,,,31.0,5.0,,19.0,,30.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,AmbroseForLife,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,martinofthedale,4.0,11.0,,1.0,2.0,5.0,12.0,17.0,,3.0,334.0,1.0,,,4.0,,,1.0,,,,,,,1.0,,,11.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,
149,vFar,16.0,45.0,3.0,29.0,12.0,33.0,7.0,68.0,2.0,3.0,7217.0,,,,38.0,,1.0,70.0,24.0,,28.0,9.0,,,4.0,,,,138.0,,75.0,,,3.0,6.0,347.0,19.0,,,,,5.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Ducky_1246,3.0,1.0,,2.0,5.0,2.0,7.0,20.0,,8.0,3110.0,3.0,1.0,,,,,,,,,,1.0,,,,1.0,3.0,,,,,,,,,2.0,,2.0,,9.0,,,,10.0,,,,,,,,,,,,9.0,,,1.0,1.0,,,,,,,,,,,
151,Engine_GG,48.0,111.0,21.0,13.0,9.0,74.0,5.0,205.0,,4.0,3304.0,3.0,4.0,,16.0,,1.0,3.0,,,,1.0,,16.0,4.0,,,20.0,,4.0,16.0,10.0,2.0,1.0,,5.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
152,someonesawks,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,WoodyWoodDeejer,106.0,462.0,92.0,74.0,9.0,312.0,190.0,904.0,23.0,139.0,58.0,57.0,69.0,,82.0,33.0,47.0,60.0,,,,57.0,1.0,,6.0,19.0,80.0,122.0,301.0,2.0,857.0,221.0,1.0,18.0,17.0,1118.0,6206.0,2.0,6.0,23.0,106.0,,6.0,1.0,30.0,7.0,20.0,4.0,2.0,,2.0,,,1.0,1.0,,184.0,5.0,40.0,,2.0,,1.0,1.0,,,18.0,,,,,
154,LegallyGood,7.0,8.0,,,3.0,4.0,3.0,27.0,,5.0,1.0,3.0,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,TheFreeLlama,2.0,5.0,,,,4.0,3.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,rangoh,216.0,23.0,,1.0,5.0,10.0,5.0,28.0,,18.0,,2.0,1.0,,5.0,,,1.0,,,,,,,,,144.0,,,,,,,14.0,,,,,,,,,13.0,,,,53.0,,,,,,,,,,,,,,8.0,,,,,,,,,,,
157,Ryhime,4.0,16.0,,,,3.0,3.0,15.0,,,,,1.0,,,,1022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Eris_Live,8.0,21.0,,3.0,22.0,15.0,25.0,47.0,1.0,14.0,3001.0,3.0,,,,,2.0,9.0,,,,,,,,,,1.0,,,3.0,,1.0,,,97.0,,1.0,,,,,,,1.0,,,,,1.0,3.0,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,
159,nocobot978,3.0,34.0,,5.0,4.0,24.0,8.0,57.0,,21.0,822.0,4.0,2.0,,,,,10.0,,,,1.0,4.0,,3.0,,,62.0,16.0,,,11.0,,2.0,,,3.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,munewell,31.0,49.0,5.0,16.0,22.0,40.0,8.0,171.0,4.0,37.0,4597.0,3.0,1.0,,,,1.0,1.0,,,,1.0,1.0,3.0,10.0,6.0,,,,,,1.0,,,,,,,2.0,1.0,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,
161,MCFulcrum,1.0,3.0,,,,2.0,,6.0,,,,7.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Starhauntu,3.0,12.0,,,7.0,2.0,17.0,18.0,,7.0,,30.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
163,Coziegoldfish728,1.0,16.0,,1.0,1.0,,,17.0,,,1813.0,,1.0,,,,,,,,,1.0,,,,,,,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Mordem,5.0,43.0,,,9.0,18.0,25.0,669.0,,25.0,1.0,3.0,2.0,,,,,2.0,,1.0,,,,,,,,9.0,,,397.0,6.0,2.0,1.0,,,,1.0,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
165,Lebanon,,1.0,,,7.0,,3.0,,,22.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,arnban,66.0,193.0,1.0,8.0,8.0,128.0,4.0,645.0,7.0,6.0,15915.0,11.0,62.0,,61.0,,38.0,15.0,1.0,,19.0,1.0,,2.0,7.0,,212.0,1.0,49.0,,73.0,2.0,,43.0,,152.0,43.0,,,4.0,,2.0,28.0,4.0,,2.0,120.0,,,,,,,,,,2.0,,2.0,,39.0,,,,,,,,,,,
167,FlamingoB,19.0,48.0,,20.0,9.0,19.0,5.0,107.0,7.0,13.0,4987.0,4.0,1.0,,15.0,,,1.0,,,,5.0,,,7.0,,1.0,,170.0,15.0,,13.0,,,3.0,59.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Setoply,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Shadovx,2.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,taxfrqud,1.0,7.0,,,,7.0,4.0,34.0,,,,1.0,,,,,,,,,,2.0,,,,,,22.0,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Gwiff,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,ShpookE,26.0,103.0,,,19.0,49.0,7.0,185.0,,99.0,4855.0,4.0,6.0,2.0,,,1.0,,,3.0,,,,,2.0,,,,,58.0,26.0,2.0,2.0,1.0,,,2.0,1.0,1.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,lucky_kitty,1.0,1.0,,,4.0,2.0,3.0,1.0,,5.0,,7.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,FerJekeey,2.0,1.0,,,8.0,1.0,7.0,3.0,,6.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Blue_Wolf12,9.0,13.0,,,2.0,1.0,10.0,67.0,,20.0,4439.0,5.0,,,,,3.0,3.0,,2.0,,,1.0,,4.0,,2.0,5.0,,,,4.0,2.0,,,,8.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,
176,c203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,The_Tzu,35.0,167.0,38.0,38.0,11.0,120.0,7.0,275.0,16.0,15.0,13638.0,17.0,10.0,3.0,7.0,,,51.0,,18.0,,10.0,7.0,3.0,24.0,9.0,467.0,30.0,167.0,,27.0,11.0,2.0,62.0,1.0,14.0,72.0,1.0,6.0,6.0,,,42.0,,1.0,6.0,185.0,1.0,10.0,1.0,2.0,1.0,,,5.0,7.0,30.0,,3.0,,104.0,,,,,,,,,,,
178,CalTexx,1.0,3.0,,,,,3.0,11.0,,1.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,KoobyRoory,1.0,3.0,,,,3.0,,8.0,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,sfpt,9.0,27.0,,,,10.0,1.0,72.0,,1.0,,,1.0,,,,,1.0,,,1.0,,,,4.0,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
181,LizzieLocks,1.0,,,,,,,1.0,,,1644.0,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
