,username,spider,skeleton,magma_cube,piglin,pig,creeper,sheep,zombie,ghast,cow,enderman,chicken,zombie_villager,axolotl,blaze,cat,cave_spider,drowned,elder_guardian,glow_squid,guardian,hoglin,horse,iron_golem,phantom,piglin_brute,pillager,salmon,shulker,silverfish,slime,squid,trader_llama,witch,wither,wither_skeleton,zombified_piglin,wandering_trader,stray,bat,cod,endermite,evoker,husk,rabbit,ravager,vindicator,llama,wolf,bee,turtle,ender_dragon,panda,parrot,polar_bear,strider,tropical_fish,vex,pufferfish,skeleton_horse,villager,donkey,mooshroom,fox,zoglin,zombie_horse,dolphin,goat,snow_golem,giant,mule,ocelot
10,isyste,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,The_Bananalol,,1.0,,,14.0,,3.0,,,5.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12,POT7940,5.0,8.0,,5.0,16.0,3.0,18.0,58.0,,15.0,1099.0,8.0,2.0,,,,,1.0,,,,,,,,,4.0,,,,,,,,,,1.0,,,,,,,,3.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
13,Vivi_111,4.0,5.0,,,20.0,,11.0,15.0,,26.0,,24.0,,,,,169.0,,,,,,,,,,,27.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Brstmanis,8.0,33.0,,,,21.0,,46.0,,,695.0,,1.0,,,,,1.0,,,,,,,9.0,,,,15.0,,41.0,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Captain_Eevee,137.0,260.0,42.0,60.0,36.0,229.0,50.0,543.0,9.0,43.0,24107.0,42.0,10.0,85.0,2271.0,7.0,26.0,155.0,,66.0,1.0,9.0,1.0,23.0,35.0,34.0,5.0,21.0,24.0,6.0,19.0,107.0,5.0,5.0,1.0,19.0,24.0,1.0,,9.0,,5.0,3.0,,,1.0,6.0,3.0,1.0,2.0,1.0,6.0,4.0,2.0,6.0,1.0,2.0,3.0,,,,,,,,,,,,,,
16,FloweringBunny,960.0,3580.0,114.0,12.0,10.0,59.0,1.0,271.0,2.0,7.0,3470.0,125.0,4.0,,,,10.0,23.0,,4.0,,3.0,1.0,,20.0,,8.0,8.0,,76.0,205.0,2.0,5.0,2.0,,2.0,5.0,3.0,,1.0,,1.0,2.0,1.0,,3.0,4.0,,3.0,,,,,,,1.0,,3.0,2.0,1.0,1.0,,,,,,,,,,,
17,Titanicus,195.0,366.0,206.0,37.0,22.0,358.0,76.0,584.0,16.0,98.0,30994.0,155.0,16.0,,1353.0,82.0,14.0,60.0,,6.0,,26.0,17.0,9.0,14.0,1.0,278.0,53.0,199.0,29.0,70.0,86.0,61.0,50.0,4.0,47.0,107.0,23.0,,26.0,,21.0,31.0,20.0,5.0,22.0,126.0,44.0,14.0,13.0,42.0,1.0,1.0,1.0,12.0,,,20.0,,17.0,3.0,2.0,22.0,,,,,,,,,
18,Aquafina__,184.0,1222.0,154.0,218.0,9.0,370.0,63.0,1213.0,20.0,475.0,21370.0,67.0,21.0,1.0,8.0,2.0,571.0,8.0,,1.0,,101.0,2.0,3.0,40.0,17.0,113.0,14.0,40.0,8.0,65.0,14.0,2.0,27.0,3.0,180.0,354.0,3.0,,1.0,,,9.0,72.0,6.0,9.0,57.0,,6.0,5.0,,,,1.0,,,,33.0,,3.0,4.0,,,2.0,1.0,1.0,,,,,,
19,tapatio_dealer,538.0,399.0,41.0,88.0,51.0,293.0,36.0,769.0,9.0,36.0,11619.0,46.0,18.0,,102.0,2.0,3.0,9.0,1.0,,12.0,25.0,1.0,2.0,36.0,,3.0,68.0,16.0,6.0,,47.0,2.0,8.0,1.0,310.0,68.0,1.0,3.0,2.0,1.0,1.0,,110.0,14.0,,1.0,1.0,,,10.0,,,,3.0,1.0,,,,,1.0,,,,,,,,,,,
20,KittenGosCrazy,46.0,136.0,75.0,12.0,2.0,56.0,6.0,352.0,1.0,17.0,10766.0,23.0,6.0,,8.0,,9.0,3.0,,,,5.0,,4.0,29.0,,14.0,21.0,105.0,116.0,13.0,16.0,,3.0,,22.0,3.0,,,1.0,,4.0,1.0,1.0,,1.0,4.0,1.0,,,,1.0,,,,,,3.0,,1.0,,,,,,,,,,,,
21,Ciemny__,118.0,198.0,1.0,36.0,60.0,56.0,70.0,315.0,11.0,49.0,6220.0,33.0,6.0,,,,,8.0,,,,8.0,1.0,2.0,8.0,,23.0,31.0,,,3.0,8.0,2.0,1.0,,,1.0,,,1.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,eltyson,,1.0,,,1.0,,,6.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,AnimeLoveGod,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,MrStealYoKills,5.0,15.0,,,23.0,4.0,,30.0,,53.0,,25.0,,,,,13.0,,,2.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Bennyslammer,23.0,30.0,,,3.0,26.0,6.0,71.0,,45.0,6884.0,50.0,2.0,1.0,,,2.0,,,,,,,,7.0,,2.0,,,,1.0,2.0,1.0,,,,1.0,1.0,,2.0,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
26,JackinSac,9.0,2.0,,,,,2.0,2.0,,1.0,1036.0,26.0,,,,,,,,,,,,,,,,16.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Bibilita,1.0,3.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Starboy887,32.0,98.0,90.0,30.0,12.0,60.0,27.0,175.0,6.0,54.0,8456.0,25.0,2.0,,58.0,6.0,,7.0,,2.0,,2.0,21.0,41.0,4.0,2.0,214.0,10.0,13.0,,23.0,159.0,13.0,36.0,,55.0,12.0,2.0,,,,,29.0,1.0,1.0,24.0,124.0,6.0,9.0,2.0,5.0,1.0,,,1.0,,,41.0,,1.0,11.0,,,3.0,,,1.0,1.0,1.0,,,
