,username,interact_with_crafting_table,open_barrel,open_shulker_box,leave_game,time_since_death,damage_resisted,sprint_one_cm,drop,deaths,jump,walk_on_water_one_cm,enchant_item,interact_with_furnace,play_one_minute,sleep_in_bed,open_enderchest,damage_dealt,crouch_one_cm,interact_with_smoker,interact_with_smithing_table,mob_kills,interact_with_anvil,inspect_hopper,climb_one_cm,walk_one_cm,sneak_time,walk_under_water_one_cm,boat_one_cm,interact_with_lectern,interact_with_blast_furnace,interact_with_grindstone,time_since_rest,damage_taken,swim_one_cm,fly_one_cm,open_chest,aviate_one_cm,fall_one_cm,interact_with_stonecutter,play_time,total_world_time,animals_bred,bell_ring,damage_absorbed,damage_blocked_by_shield,damage_dealt_absorbed,fish_caught,horse_one_cm,inspect_dispenser,interact_with_beacon,interact_with_brewingstand,interact_with_cartography_table,play_noteblock,play_record,player_kills,talked_to_villager,traded_with_villager,tune_noteblock,interact_with_loom,inspect_dropper,pot_flower,raid_trigger,raid_win,minecart_one_cm,eat_cake_slice,strider_one_cm,fill_cauldron,target_hit,trigger_trapped_chest,use_cauldron,clean_shulker_box,interact_with_campfire,pig_one_cm,clean_banner,damage_dealt_resisted
43,LoneFoghunter,65.0,236.0,30.0,44.0,231918.0,841.0,4017642.0,558.0,13.0,13899.0,79076.0,,51.0,939094.0,3.0,52.0,65476.0,97240.0,,4.0,277.0,15.0,8.0,142769.0,4108859.0,29302.0,106633.0,438170.0,4.0,,3.0,231938.0,11349.0,95048.0,4199791.0,405.0,5646822.0,217052.0,,,,,30.0,,3645.0,,,,2.0,,,,,,,87.0,41.0,,,,,,,145916.0,,,,,,,,,,,
44,Thyrical,69.0,,,20.0,109.0,4.0,1261629.0,48.0,16.0,9431.0,55972.0,,50.0,415650.0,11.0,,31492.0,94451.0,97.0,,180.0,,,44627.0,580449.0,30007.0,34534.0,,,30.0,1.0,129.0,10993.0,104983.0,2018808.0,152.0,,347924.0,,,,,,,3410.0,,,1122569.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,sejunie,6.0,,,1.0,122189.0,4.0,121576.0,,1.0,639.0,7844.0,,4.0,141877.0,,,550.0,248.0,,,8.0,,,,196161.0,413.0,1454.0,,,,,122209.0,631.0,1334.0,113099.0,2.0,,11959.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Gorrilag,151.0,38.0,62.0,13.0,4506.0,31.0,2579491.0,56.0,7.0,13392.0,66990.0,5.0,228.0,,2.0,9.0,30602.0,61545.0,,,214.0,12.0,56.0,21974.0,2495849.0,16970.0,60884.0,458469.0,9.0,,,4526.0,8388.0,89794.0,2082031.0,709.0,6846215.0,261220.0,,840756.0,840756.0,,32.0,,1575.0,,,,2.0,,,,,,,3.0,,,,3.0,,,,,,,,,,,,,,,
47,diaboliqueXD,24.0,,4.0,4.0,171691.0,,398073.0,1.0,,1011.0,17223.0,,17.0,,,1.0,982.0,109.0,27.0,,6.0,,1.0,9900.0,124252.0,1320.0,5982.0,,,2.0,,171691.0,585.0,9173.0,229359.0,178.0,,17243.0,,171691.0,7030.0,,,,,,39.0,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,
48,TeevReqq,8.0,,,1.0,26118.0,,123639.0,1.0,,310.0,4012.0,,14.0,26118.0,,,1790.0,201.0,,,21.0,,,,108884.0,44.0,1286.0,,,,,26118.0,80.0,5412.0,40827.0,2.0,,4631.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,briisu,162.0,9.0,,18.0,482816.0,36.0,2304672.0,253.0,4.0,11662.0,65575.0,3.0,91.0,,3.0,,20289.0,217286.0,6.0,,147.0,2.0,,3398.0,1966944.0,60117.0,55347.0,,,8.0,,184105.0,3668.0,154578.0,2661508.0,432.0,,209804.0,,605627.0,605627.0,11.0,,,2255.0,,29.0,2632.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Eserio,,10.0,2.0,2.0,30270.0,60.0,174402.0,,,1122.0,1536.0,,2.0,30270.0,,2.0,150.0,184.0,,,1.0,,1.0,14700.0,69799.0,97.0,3340.0,,8.0,,,30270.0,330.0,15771.0,294176.0,19.0,,33592.0,,,,,1.0,,,,,48358.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
51,nepjun,,,,3.0,2700.0,140.0,29184.0,,1.0,254.0,,,,9492.0,,,168.0,454.0,,,,,,,28910.0,169.0,,,,,,2720.0,210.0,,75636.0,7.0,,4389.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Hoego115,216.0,9.0,9.0,16.0,104801.0,440.0,4080996.0,141.0,12.0,24013.0,218483.0,2.0,186.0,1592052.0,50.0,5.0,49722.0,185299.0,25.0,,1104.0,3.0,16.0,35601.0,3750205.0,78949.0,195064.0,343503.0,1.0,1.0,2.0,48085.0,18531.0,291623.0,6198183.0,895.0,10389634.0,665641.0,,,,130.0,7.0,,570.0,,,1457522.0,,,,1.0,,,,,,,,,10.0,,,,,476.0,2.0,,,,,3.0,,,
53,Errordiamond300,117.0,756.0,815.0,222.0,400395.0,5791.0,20138824.0,1037.0,36.0,77283.0,369937.0,,127.0,,22.0,343.0,85481.0,860233.0,1.0,1.0,3400.0,19.0,19.0,670507.0,16900033.0,351620.0,1330549.0,1366884.0,75.0,2.0,2.0,309536.0,57405.0,550100.0,20207586.0,2556.0,114916492.0,1600020.0,14.0,8940896.0,8940896.0,12.0,24.0,69.0,5170.0,3.0,,1031169.0,5.0,3.0,,,1.0,3.0,11.0,26.0,,211.0,,5.0,,,3.0,,12.0,,,,,,,,236.0,,
54,BebaBlock,17.0,23.0,52.0,9.0,189441.0,,479224.0,38.0,,1834.0,48263.0,,41.0,,2.0,,9676.0,6293.0,,,69.0,4.0,,,487168.0,2451.0,7544.0,147028.0,3.0,,,29339.0,775.0,11909.0,305547.0,35.0,,28023.0,,189441.0,189441.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,vredeagle,18.0,5.0,4.0,5.0,107764.0,15.0,1145447.0,7.0,4.0,2958.0,55595.0,,15.0,258768.0,4.0,,4148.0,12340.0,,,25.0,,,26422.0,725787.0,3843.0,38181.0,139244.0,1.0,,,107784.0,2774.0,36601.0,535799.0,195.0,,50071.0,,,,59.0,,,,,,2744.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
56,its_Krayzee,7.0,58.0,9.0,3.0,24494.0,148.0,222543.0,44.0,1.0,1540.0,8790.0,,4.0,,1.0,13.0,3390.0,3212.0,,,65.0,1.0,4.0,16155.0,467557.0,1497.0,19252.0,,1.0,,,24514.0,1878.0,32124.0,332274.0,156.0,1529268.0,40597.0,,103696.0,103696.0,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,
57,Ferrno,4841.0,4375.0,66108.0,1027.0,101250796.0,53428.0,129224098.0,5626.0,,668091.0,3833516.0,14.0,1983.0,,3660.0,13649.0,370902.0,26750146.0,14.0,33.0,544039.0,412.0,1358.0,3269262.0,148016490.0,6749753.0,9609635.0,3424271.0,158.0,6.0,35.0,13322.0,335558.0,2414988.0,160274241.0,52211.0,2118745444.0,21145390.0,956.0,101250847.0,68494051.0,106.0,602.0,140.0,,40.0,,2845794.0,263.0,47.0,157.0,32.0,399.0,11.0,36.0,26156.0,334791.0,3311.0,117.0,147.0,237.0,,5.0,57157.0,14.0,,2.0,28.0,2.0,,,,1278.0,4.0,
58,boris_johnson_08,127.0,148.0,117.0,26.0,15040.0,440.0,2107621.0,61.0,11.0,12654.0,63981.0,7.0,31.0,872263.0,17.0,21.0,20783.0,97902.0,16.0,3.0,1084.0,21.0,16.0,56595.0,3312576.0,46740.0,47450.0,,4.0,6.0,,8368.0,13389.0,10225.0,3460416.0,625.0,417398.0,242474.0,,,,3.0,,,,,,,2.0,,,,,,1.0,,,,4.0,,3.0,,,384210.0,,,,,,,,,,,
59,Supreme_Ricardo,57.0,73.0,57.0,1.0,251607.0,40.0,932767.0,19.0,,7846.0,21466.0,,32.0,,1.0,18.0,3688.0,6060.0,,4.0,16.0,4.0,,13357.0,578054.0,2331.0,30457.0,,,,,199498.0,1023.0,43160.0,2489496.0,407.0,2576373.0,145966.0,,251607.0,251607.0,,,,1010.0,,,,26.0,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,
60,jollygood795637,72.0,505.0,350.0,104.0,48623.0,2595.0,3169287.0,183.0,16.0,15479.0,93513.0,,42.0,,10.0,201.0,7401.0,104440.0,11.0,10.0,43.0,20.0,4.0,45278.0,2464274.0,104504.0,93380.0,346470.0,3.0,30.0,,48643.0,13980.0,36497.0,4145978.0,1368.0,25545288.0,426320.0,1.0,1503748.0,1503748.0,,,,1814.0,,,7174.0,3.0,11.0,1.0,,,,,21.0,,2.0,2.0,,,,,,2.0,,,,,,,,,,
61,Rich_U,3925.0,1015.0,31402.0,766.0,28033578.0,4830.0,75430873.0,186222.0,18.0,309383.0,2157717.0,,637.0,,781.0,2579.0,6700480.0,14301984.0,4.0,2.0,696653.0,143.0,2166.0,4731388.0,76746235.0,3158861.0,3590957.0,1892586.0,38.0,1.0,10.0,78325.0,232691.0,3001162.0,51171938.0,26755.0,302841098.0,7048248.0,349.0,64972130.0,64972130.0,149.0,56.0,273.0,2560.0,80.0,,91029.0,451.0,47.0,199.0,1.0,10.0,1.0,118.0,11972.0,149982.0,458.0,52.0,628.0,43.0,12971.0,4108.0,738011.0,,,11.0,,1.0,8.0,,,,,
62,Wither_Dust,62.0,55.0,,52.0,2176.0,700.0,1046883.0,93.0,15.0,8159.0,50518.0,,68.0,,6.0,3.0,9423.0,216731.0,,,66.0,5.0,,101162.0,902366.0,58474.0,22018.0,65800.0,3.0,,,2196.0,6818.0,56210.0,1637882.0,147.0,,157075.0,,389236.0,389236.0,38.0,1.0,,2315.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
63,mantrathijs,41.0,4.0,,2.0,0.0,24.0,664023.0,24.0,6.0,4271.0,19054.0,,20.0,,1.0,3.0,5593.0,158189.0,1.0,,34.0,2.0,,9165.0,722681.0,52130.0,6792.0,3282.0,,,,21.0,4400.0,4540.0,522718.0,92.0,,104081.0,,294813.0,294813.0,,,,,,,1057.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Cognetry,4.0,19.0,7.0,2.0,43159.0,,192846.0,7.0,,1428.0,2429.0,,1.0,,1.0,5.0,475.0,2318.0,,,4.0,,,421.0,108525.0,612.0,2480.0,,1.0,,,11891.0,490.0,4039.0,404936.0,46.0,,40524.0,,43159.0,43159.0,,,,,,,,,,,,,,,,,,,,,,,4780.0,,,,,,,,,,,
65,TyphoonFoN,170.0,310.0,87.0,45.0,304669.0,33.0,4818108.0,257.0,12.0,20094.0,526392.0,1.0,237.0,2114345.0,48.0,50.0,82893.0,679394.0,4.0,1.0,2470.0,30.0,39.0,100878.0,3121496.0,227367.0,1642780.0,1494550.0,6.0,2.0,3.0,85156.0,22576.0,1780542.0,5605564.0,1402.0,20823005.0,392215.0,34.0,,,61.0,191.0,,3110.0,,18.0,219598.0,10.0,,2.0,,9.0,,,7.0,,5.0,,23.0,,,,601112.0,,,,,,,,,,,
66,DibsTheHorse,333.0,1299.0,895.0,112.0,2213533.0,712.0,5672818.0,414.0,23.0,45772.0,352417.0,32.0,463.0,,74.0,142.0,99020.0,372353.0,,5.0,6914.0,64.0,13.0,518942.0,23013015.0,134682.0,250602.0,256240.0,14.0,75.0,13.0,230625.0,27470.0,183954.0,8249073.0,3632.0,20811944.0,650536.0,7.0,5824792.0,360893.0,409.0,94.0,80.0,7932.0,,34.0,4400058.0,1.0,14.0,,,,15.0,,89.0,71.0,,,2.0,,,,460599.0,,,,,,,,,,,
67,LiquidGinger,208.0,425.0,39.0,70.0,677075.0,674.0,6854400.0,1084.0,23.0,35898.0,437067.0,,153.0,,66.0,11.0,36655.0,283923.0,,5.0,2452.0,25.0,13.0,90962.0,6393971.0,100999.0,315344.0,1268782.0,1.0,,1.0,8242.0,21905.0,508918.0,9347793.0,289.0,32894020.0,572277.0,44.0,4138768.0,4138768.0,11.0,,,2660.0,,9.0,1002501.0,1.0,,,,,,6.0,,,,15.0,,,,,,,,1.0,,,,,,,,
68,Aly6337,,102.0,11.0,4.0,5144.0,64.0,362495.0,4.0,3.0,1200.0,6929.0,,,,2.0,,41.0,8950.0,,,,,,1935.0,365540.0,4897.0,4066.0,39845.0,,,,5164.0,1862.0,1780.0,269977.0,33.0,1044242.0,37683.0,,137412.0,137412.0,,,,,,,,1.0,,,,,,,,,,,,,,,22246.0,,,,,,,,,,,
69,HaruAims,,,,1.0,5148.0,,33381.0,,,38.0,,,,,,,,,,,,,,,15760.0,5.0,,,,,,5148.0,,,15187.0,,,627.0,,5148.0,5148.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Chexse_,3510.0,8228.0,29526.0,1193.0,615981.0,24503.0,107159220.0,13217.0,297.0,368650.0,7728248.0,10.0,1814.0,,579.0,2270.0,2159687.0,8895816.0,23.0,79.0,121356.0,651.0,1828.0,1936524.0,172971452.0,2297820.0,14780432.0,7648479.0,301.0,49.0,38.0,40982.0,404940.0,3986630.0,132273976.0,46566.0,961206281.0,10780618.0,701.0,94248910.0,20109534.0,106.0,43.0,,1260.0,,759.0,12098907.0,847.0,56.0,68.0,5.0,66.0,24.0,51.0,3549.0,21366.0,195770.0,26.0,152.0,29.0,3.0,3.0,2436163.0,52.0,404.0,,3.0,3.0,1.0,,,,,
71,ihavebraindamag,1.0,6.0,2.0,1.0,6253.0,,18863.0,,,120.0,729.0,,,6253.0,,3.0,,6.0,,,,,,,25042.0,27.0,20.0,,,,,6253.0,,,34788.0,7.0,,2094.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Flynnium_,,,2.0,1.0,22701.0,92.0,254211.0,3.0,1.0,1062.0,3942.0,,,48973.0,,1.0,542.0,2941.0,,,4.0,,,,209764.0,795.0,42042.0,,,,,22721.0,1688.0,5814.0,233962.0,12.0,,48234.0,,,,,,,,,,1084.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,SenseiRain,84.0,139.0,53.0,8.0,226997.0,411.0,1865804.0,238.0,2.0,10885.0,108389.0,,38.0,966323.0,1.0,7.0,14685.0,96113.0,19.0,1.0,529.0,19.0,2.0,49591.0,1720661.0,29893.0,63074.0,346209.0,10.0,,1.0,227018.0,3999.0,55388.0,3223013.0,134.0,10779778.0,218864.0,,,,,,,1625.0,,,,,,,,,,,,,,,,,,,266541.0,,,,,,,,,,,
74,UncleBarba,43.0,119.0,75.0,1.0,70241.0,150.0,1096005.0,176.0,4.0,3097.0,25817.0,,119.0,,5.0,38.0,3943.0,14919.0,18.0,2.0,22.0,3.0,14.0,26670.0,1162433.0,8871.0,40042.0,,5.0,2.0,,48016.0,4773.0,43844.0,507372.0,432.0,960346.0,99230.0,1.0,411261.0,411261.0,,,41.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
75,STACKIC_,,,,1.0,411.0,,,,,,,,,,,,,,,,,,,,,,,,,,,411.0,,,,,,,,411.0,411.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,AI0099,294.0,263.0,516.0,66.0,2397816.0,877.0,2434651.0,500.0,11.0,19597.0,133548.0,41.0,176.0,,95.0,311.0,49168.0,546379.0,,6.0,8829.0,35.0,160.0,710960.0,12467090.0,174482.0,229622.0,143637.0,23.0,46.0,29.0,6781.0,21847.0,121003.0,1493774.0,2705.0,51862178.0,355737.0,12.0,5329502.0,5329502.0,,2.0,,,,,46106.0,27.0,4.0,,,4.0,3.0,,37.0,32.0,66.0,,,,,,,,,,,,,,,,,
77,Abarthnes,84.0,123.0,436.0,59.0,15275.0,2731.0,4947480.0,8048.0,79.0,26772.0,143000.0,5.0,148.0,,2.0,68.0,42903.0,297990.0,,1.0,3714.0,53.0,58.0,212024.0,3447893.0,77887.0,546509.0,2136258.0,7.0,,6.0,4050.0,41536.0,527719.0,5678220.0,891.0,27331150.0,711084.0,1.0,1853210.0,1853210.0,,,48.0,,40.0,,78061.0,1.0,4.0,,1.0,,1.0,6.0,85.0,23.0,1.0,,,,,,1444.0,,,,,,,,,,,
78,Awnn,234.0,193.0,614.0,41.0,984915.0,2196.0,4337674.0,274.0,5.0,22101.0,216310.0,157.0,274.0,,8.0,98.0,53314.0,669943.0,2.0,6.0,8544.0,43.0,,31656.0,5730272.0,209645.0,321486.0,774100.0,6.0,2.0,77.0,278460.0,12538.0,255741.0,4189106.0,1501.0,24004494.0,563796.0,17.0,2241536.0,2241536.0,,,,3010.0,,,,3.0,,,,,,1.0,,,,,,15.0,,,307532.0,5.0,,,,,,,,,,
79,_KanagawaRen,202.0,246.0,295.0,33.0,54442.0,1273.0,5401492.0,403.0,30.0,32517.0,197537.0,,330.0,,11.0,163.0,55204.0,950322.0,,10.0,4068.0,56.0,7.0,174476.0,4566843.0,268084.0,854892.0,497076.0,12.0,16.0,,4132.0,25792.0,342381.0,7345390.0,905.0,47315047.0,760509.0,1.0,2496373.0,86018.0,,,,7262.0,,,,22.0,5.0,,,,,1.0,,,,4.0,1.0,,,,,,,,,,,,,,,
80,DragFire,72.0,,,6.0,326936.0,8.0,2080999.0,34.0,6.0,9320.0,67118.0,,25.0,440089.0,4.0,,10582.0,42296.0,,,69.0,1.0,,3926.0,928285.0,27378.0,15084.0,,,,,63194.0,5580.0,114147.0,2540280.0,149.0,,270102.0,,,,,,,390.0,,,15200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Benkein,213.0,380.0,353.0,64.0,81144.0,2525.0,3008187.0,424.0,6.0,17621.0,449887.0,147.0,828.0,,24.0,223.0,52676.0,340117.0,2.0,9.0,5327.0,48.0,7.0,15589.0,5580111.0,100973.0,347789.0,85745.0,9.0,2.0,143.0,2004.0,14448.0,1580175.0,3350819.0,1609.0,15418000.0,409060.0,29.0,1949956.0,1949956.0,,,,6225.0,,,,3.0,20.0,2.0,,,,1.0,,,,,,2.0,,,705531.0,1.0,,2.0,,,,2.0,,,,
82,jar1360,856.0,2044.0,1582.0,254.0,388684.0,11756.0,34655795.0,4122.0,137.0,159205.0,3087735.0,242.0,150.0,,358.0,1182.0,462279.0,847100.0,45.0,30.0,33607.0,201.0,322.0,1435170.0,26547802.0,346768.0,5761366.0,4171492.0,53.0,164.0,45.0,388705.0,147548.0,6840575.0,30122519.0,5850.0,138895190.0,4915295.0,17.0,15961434.0,2777630.0,574.0,637.0,92.0,24440.0,3.0,,310426.0,29.0,28.0,35.0,1.0,,4.0,4.0,1050.0,1047.0,25.0,9.0,28.0,,5.0,5.0,230234.0,6.0,114720.0,,1.0,,,,,,,
83,Filtered99,425.0,763.0,1167.0,176.0,223129.0,1659.0,4416262.0,704.0,31.0,89169.0,2349986.0,,437.0,,157.0,981.0,301789.0,180666.0,2.0,15.0,4618.0,59.0,98.0,722038.0,105015072.0,96547.0,566436.0,11335244.0,27.0,4.0,7.0,75874.0,45476.0,876693.0,1846580.0,3819.0,93305585.0,851403.0,9.0,13139703.0,13139703.0,7.0,350.0,74.0,1687.0,,966.0,108400.0,1.0,,773.0,2.0,1.0,,,212.0,64.0,4383.0,1.0,8.0,,9.0,8.0,10018.0,,1643330.0,1.0,,,3.0,,,,,
84,macklemoist,191.0,9.0,9.0,68.0,21671.0,,5705916.0,78.0,26.0,56478.0,71739.0,1.0,119.0,2108106.0,26.0,5.0,112140.0,54352.0,3.0,1.0,663.0,3.0,4.0,331101.0,2966294.0,29350.0,166871.0,7285549.0,3.0,,,21691.0,21783.0,106360.0,22630970.0,1383.0,,709234.0,,,,,,,,,820.0,821685.0,,,5.0,1.0,,,,255.0,143.0,,,,,,,,,,,,,,,,,,
85,insert__nickname,103.0,33.0,1.0,11.0,795079.0,,2353832.0,9.0,,9278.0,25275.0,,240.0,,35.0,2.0,4027.0,170257.0,,,23.0,1.0,,14826.0,2271319.0,59464.0,11050.0,,6.0,,,3992.0,1982.0,63055.0,1551640.0,306.0,,126140.0,28.0,795079.0,795079.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,kinyama,8.0,1.0,2.0,1.0,704.0,,114801.0,,2.0,997.0,63110.0,,2.0,67385.0,,,270.0,6082.0,,,4.0,,,9715.0,279018.0,1404.0,13415.0,122686.0,,,,724.0,585.0,,55487.0,5.0,,10380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,TheDuneRat,149.0,84.0,91.0,51.0,43886.0,80.0,3180314.0,109.0,25.0,24636.0,598443.0,,253.0,1491003.0,46.0,22.0,38142.0,215327.0,,,257.0,17.0,2.0,23240.0,5417119.0,68489.0,316948.0,22400.0,7.0,,,43906.0,22313.0,149934.0,4106672.0,1073.0,,525110.0,,,,,,,,,,3219.0,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,
88,FrostyGoron,1240.0,1816.0,1606.0,336.0,1305183.0,720.0,23036010.0,2111.0,64.0,78293.0,1743908.0,27.0,898.0,,121.0,466.0,221710.0,1725363.0,1.0,16.0,8179.0,261.0,18.0,104464.0,45361968.0,470352.0,6487596.0,2907112.0,8.0,,5.0,746796.0,88871.0,3823323.0,12252232.0,5341.0,177866627.0,1659460.0,1.0,17231856.0,192145.0,466.0,50.0,150.0,,,26.0,10456555.0,14.0,12.0,25.0,,,3.0,3.0,5204.0,5645.0,5.0,18.0,11.0,,3.0,2.0,1405047.0,,7306921.0,,,,,,,,,
89,Marita2k,744.0,556.0,407.0,87.0,8049.0,4995.0,20944877.0,1134.0,176.0,66104.0,864236.0,36.0,261.0,,47.0,167.0,126452.0,1047686.0,5.0,4.0,4843.0,49.0,22.0,659169.0,29897722.0,443269.0,1665790.0,3644164.0,15.0,68.0,26.0,8069.0,103486.0,2211342.0,6992803.0,4560.0,98255322.0,1818824.0,2.0,8327296.0,8327296.0,289.0,91.0,258.0,,31.0,,71248.0,1.0,,13.0,,30.0,,11.0,11.0,,133.0,8.0,32.0,31.0,1.0,2.0,,4.0,,4.0,,,,,,,,
90,Skullio,271.0,298.0,199.0,60.0,664666.0,332.0,9301446.0,1188.0,15.0,45375.0,1297463.0,9.0,251.0,4998230.0,69.0,217.0,207180.0,896407.0,,3.0,10126.0,70.0,10.0,44662.0,10447658.0,241540.0,3500947.0,1682445.0,1.0,1.0,4.0,11212.0,31561.0,6837239.0,11755562.0,2156.0,46194897.0,833247.0,,,,,,,4390.0,,19.0,,,,5.0,31.0,,,1.0,302.0,244.0,,,,,,1.0,260.0,,,1.0,,,2.0,,,,,
91,thatpie,831.0,1345.0,2219.0,295.0,197024.0,27189.0,18705354.0,2009.0,17.0,52165.0,1051899.0,103.0,553.0,,303.0,1268.0,101872.0,1766422.0,2.0,3.0,10861.0,143.0,457.0,500804.0,21159334.0,569312.0,6040393.0,3337708.0,88.0,78.0,42.0,26398.0,88320.0,3039226.0,9891455.0,4934.0,221738238.0,2546565.0,4.0,9728935.0,9728935.0,235.0,59.0,160.0,3290.0,13.0,,9962.0,56.0,26.0,,8.0,,1.0,6.0,155.0,122.0,96.0,56.0,58.0,,,1.0,248944.0,4.0,,6.0,,,5.0,,,,,
92,Zwierze,2159.0,1191.0,10413.0,1032.0,4820.0,6052.0,67519123.0,10637.0,110.0,208032.0,2133853.0,12.0,1124.0,,486.0,1581.0,5883160.0,4276643.0,1.0,23.0,313130.0,90.0,2108.0,2154503.0,70003706.0,1345837.0,7228570.0,10993241.0,28.0,1.0,7.0,4840.0,183730.0,3716635.0,35324376.0,18176.0,252523869.0,4518506.0,333.0,37283960.0,135169.0,3023.0,46.0,42.0,1032.0,104.0,57.0,4902899.0,107.0,36.0,7.0,,53.0,2.0,20.0,117.0,332.0,638.0,1.0,254.0,5.0,1.0,2.0,8589809.0,23.0,,1.0,10.0,,1.0,,,568.0,,
93,deadguynwo,7.0,85.0,109.0,12.0,3171.0,2510.0,2850633.0,38.0,11.0,14789.0,101789.0,1.0,10.0,505968.0,1.0,27.0,14406.0,3022.0,1.0,3.0,258.0,11.0,13.0,55173.0,1257654.0,917.0,55492.0,177074.0,9.0,,,3191.0,7209.0,147424.0,4389692.0,260.0,,359554.0,,,,,6.0,,876.0,40.0,,,,,,,,4.0,4.0,3.0,,,,2.0,,,,18504.0,5.0,,,,,,,,,,
94,Mavway02,129.0,142.0,380.0,37.0,329033.0,1802.0,4811042.0,185.0,15.0,17433.0,261601.0,31.0,205.0,,36.0,174.0,57525.0,612292.0,,,3655.0,24.0,4.0,104776.0,3163642.0,149002.0,153136.0,187650.0,6.0,,22.0,27215.0,24824.0,320427.0,3534034.0,812.0,17217796.0,533213.0,35.0,1306576.0,1306576.0,12.0,,,,,,1179.0,5.0,4.0,,,1.0,,,11.0,,3.0,1.0,,3.0,,,55264.0,,,,,,,,,,,
95,Nerdseh,82.0,5.0,43.0,14.0,288940.0,,992365.0,5.0,1.0,5001.0,78970.0,1.0,22.0,,8.0,3.0,8741.0,17302.0,7.0,,85.0,,,9708.0,1472895.0,6429.0,35563.0,2609606.0,,18.0,,36022.0,1365.0,99597.0,955709.0,210.0,,92651.0,,546094.0,546094.0,32.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
96,xSpqces,,,,2.0,6730.0,,18925.0,,,50.0,,,,,,,,2182.0,,,,,,,3190.0,231.0,,,1.0,,,6730.0,,,17426.0,1.0,,1103.0,,6730.0,6730.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,EnderPort,89.0,72.0,14.0,30.0,238463.0,100.0,2631060.0,133.0,1.0,12780.0,181129.0,6.0,188.0,,17.0,22.0,18883.0,156708.0,3.0,3.0,1227.0,8.0,,60021.0,2278606.0,48144.0,130679.0,1093195.0,14.0,4.0,3.0,47749.0,3725.0,119274.0,2967748.0,427.0,15067219.0,342555.0,1.0,973468.0,973468.0,121.0,,,750.0,,,,3.0,,1.0,,,,,30.0,3.0,,1.0,,,,,,,,,,,,,,,,
98,Myracuulous,2878.0,3297.0,9289.0,246.0,1838786.0,709.0,39239099.0,2027.0,60.0,126432.0,6483181.0,48.0,3761.0,,654.0,777.0,338915.0,661864.0,2.0,2.0,2705.0,142.0,343.0,3219216.0,58241880.0,278532.0,6476010.0,6097288.0,31.0,,79.0,7306.0,77124.0,2958546.0,7015181.0,11354.0,118134764.0,1613964.0,6.0,18226442.0,18226442.0,477.0,2.0,,80.0,,904.0,1839685.0,27.0,4.0,,,,,1.0,3673.0,9688.0,2.0,20.0,,6.0,,,44472.0,12.0,,6.0,,,2.0,,2.0,,,
99,_sliced_bread,50.0,130.0,15.0,11.0,80626.0,232.0,870139.0,86.0,2.0,6281.0,99258.0,30.0,61.0,,4.0,60.0,8061.0,7540.0,,1.0,2457.0,10.0,,10738.0,1146345.0,3284.0,41893.0,313055.0,5.0,,20.0,80647.0,3644.0,54596.0,1164611.0,242.0,378618.0,86267.0,1.0,461431.0,461431.0,1.0,,,2835.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,crazysloppyjoe,22.0,135.0,264.0,30.0,110889.0,6329.0,3149677.0,147.0,8.0,8330.0,122595.0,9.0,17.0,774393.0,,109.0,27428.0,19281.0,,9.0,1907.0,12.0,22.0,173372.0,988291.0,9914.0,256438.0,200852.0,8.0,,10.0,110912.0,16425.0,162505.0,4758251.0,279.0,38281293.0,397116.0,3.0,,,1.0,25.0,2.0,30.0,,,14198.0,,1.0,,,8.0,,,,,373.0,,6.0,,,,,,,,,,,,,,,
