,username,interact_with_crafting_table,open_barrel,open_shulker_box,leave_game,time_since_death,damage_resisted,sprint_one_cm,drop,deaths,jump,walk_on_water_one_cm,enchant_item,interact_with_furnace,play_one_minute,sleep_in_bed,open_enderchest,damage_dealt,crouch_one_cm,interact_with_smoker,interact_with_smithing_table,mob_kills,interact_with_anvil,inspect_hopper,climb_one_cm,walk_one_cm,sneak_time,walk_under_water_one_cm,boat_one_cm,interact_with_lectern,interact_with_blast_furnace,interact_with_grindstone,time_since_rest,damage_taken,swim_one_cm,fly_one_cm,open_chest,aviate_one_cm,fall_one_cm,interact_with_stonecutter,play_time,total_world_time,animals_bred,bell_ring,damage_absorbed,damage_blocked_by_shield,damage_dealt_absorbed,fish_caught,horse_one_cm,inspect_dispenser,interact_with_beacon,interact_with_brewingstand,interact_with_cartography_table,play_noteblock,play_record,player_kills,talked_to_villager,traded_with_villager,tune_noteblock,interact_with_loom,inspect_dropper,pot_flower,raid_trigger,raid_win,minecart_one_cm,eat_cake_slice,strider_one_cm,fill_cauldron,target_hit,trigger_trapped_chest,use_cauldron,clean_shulker_box,interact_with_campfire,pig_one_cm,clean_banner,damage_dealt_resisted
10,appocolypz,,,,1.0,3024.0,525.0,38238.0,,2.0,233.0,,,,8555.0,,6.0,600.0,1215.0,,,,,,,41975.0,276.0,,,,,,3044.0,788.0,,69086.0,4.0,,3854.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
11,RubyPlaysMC,300.0,208.0,933.0,36.0,2216514.0,68.0,6329062.0,168.0,1.0,18525.0,111201.0,11.0,232.0,,64.0,56.0,48561.0,112844.0,,,2555.0,13.0,52.0,26473.0,6706894.0,53701.0,75245.0,520884.0,2.0,9.0,2.0,14094.0,8756.0,72509.0,4456301.0,770.0,35971972.0,326596.0,,3392474.0,2045.0,109.0,,,1190.0,,,,,,,,,,,13.0,,,,6.0,,,1.0,85924.0,,,,,,,,,,,
12,Fedron,11.0,,,1.0,45177.0,,43548.0,2.0,,247.0,,,33.0,,,,399.0,49869.0,,,3.0,,,168.0,43350.0,19308.0,,43347.0,,,,45177.0,365.0,,56857.0,2.0,,4613.0,,45177.0,45177.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,CupOfTea33,,1.0,,1.0,17357.0,,31304.0,,,218.0,,,,17357.0,,1.0,,3936.0,,,,,,,49819.0,1417.0,,,6.0,,,17357.0,30.0,,66960.0,3.0,,2510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,isyste,,50.0,3.0,2.0,81140.0,,410292.0,7.0,1.0,2178.0,16031.0,,,97254.0,,11.0,656.0,14201.0,,,4.0,,,673.0,98386.0,5391.0,52329.0,,4.0,,,81160.0,811.0,18826.0,586947.0,46.0,,44229.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,The_Bananalol,5.0,3.0,,1.0,19477.0,20.0,118703.0,1.0,1.0,918.0,434.0,,8.0,26668.0,,2.0,3007.0,1321.0,,,31.0,,,,27062.0,507.0,45.0,,,,,19497.0,650.0,623.0,202241.0,9.0,,21099.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,POT7940,114.0,13.0,26.0,13.0,228884.0,98.0,1996244.0,260.0,12.0,14200.0,103389.0,12.0,122.0,,15.0,15.0,25036.0,283963.0,,1.0,1250.0,6.0,,87732.0,1303983.0,86855.0,109387.0,649127.0,2.0,2.0,4.0,132797.0,8693.0,346285.0,2890080.0,383.0,,286770.0,2.0,708971.0,271778.0,4.0,,40.0,2305.0,,,6587.0,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,
17,Vivi_111,185.0,2.0,,13.0,52951.0,152.0,1264222.0,156.0,24.0,13092.0,209307.0,,291.0,,10.0,9.0,29131.0,7304.0,10.0,,307.0,1.0,5.0,19781.0,5061884.0,16644.0,56108.0,195611.0,1.0,,,52971.0,18642.0,23329.0,559268.0,646.0,995527.0,248437.0,32.0,2521545.0,2047664.0,24.0,,,,,18.0,6405.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Brstmanis,185.0,76.0,382.0,17.0,434220.0,148.0,2934758.0,156.0,2.0,14253.0,58557.0,,36.0,,13.0,8.0,33892.0,168253.0,,,891.0,20.0,2.0,58152.0,2196399.0,56915.0,72854.0,484690.0,5.0,,,183707.0,6599.0,141961.0,3280163.0,447.0,5766102.0,329986.0,18.0,1342899.0,1342899.0,,,,1485.0,,,,8.0,,,,,,,116.0,280.0,12.0,,3.0,15.0,,,,,,,,,,,,,,
19,Captain_Eevee,666.0,1432.0,1806.0,327.0,66306.0,9651.0,36685544.0,3887.0,44.0,93883.0,944619.0,228.0,286.0,,112.0,1577.0,541867.0,2858455.0,9.0,26.0,28729.0,210.0,401.0,1253389.0,32012122.0,897193.0,2807216.0,4192003.0,48.0,11.0,169.0,66330.0,74157.0,5544406.0,23913568.0,8173.0,81918358.0,2132755.0,2.0,14967651.0,14967651.0,19.0,1403.0,856.0,12154.0,251.0,2.0,1585570.0,17.0,11.0,247.0,3.0,,16.0,52.0,2379.0,4621.0,34.0,7.0,9.0,,,1.0,28021.0,4.0,458.0,,,,,,,,,
20,MelodiousRaven,,,,1.0,15130.0,,68329.0,,,55.0,,,,,,,,748.0,,,,,,,57421.0,114.0,,,,,,15130.0,,,15540.0,,,209.0,,15130.0,15130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,FloweringBunny,1783.0,5115.0,2061.0,399.0,243717.0,2037.0,47486391.0,3225.0,53.0,129040.0,1983512.0,2.0,1834.0,,133.0,676.0,353983.0,1814899.0,63.0,10.0,9077.0,137.0,229.0,851997.0,60197053.0,649605.0,2793051.0,1042655.0,93.0,50.0,73.0,72955.0,78386.0,723559.0,29304722.0,8800.0,67685214.0,2180717.0,12.0,19366937.0,11281280.0,10.0,211.0,,,,65.0,850144.0,96.0,,23.0,,12.0,18.0,7.0,33.0,21.0,41.0,27.0,25.0,53.0,,2.0,6547399.0,4.0,,2.0,,,,,,,,
